Name,Location,Latitude,Longitude
1000 Grand by Windsor,"1000 S Grand Ave, Los Angeles, CA 90015",34.042842,-118.260636
1029 S. Union Ave.,"1029 S Union Ave, Los Angeles, CA 90015",34.048766,-118.274573
1050 S Grand Ave Unit 705,"1050 S Grand Ave Unit 705, Los Angeles, CA 90015",34.0422099,-118.2612299
1111 Wilshire,"1111 Wilshire Blvd, Los Angeles, CA 90017",34.0524916,-118.2634765
1118 W 37th Dr,"1118 W 37th Dr, Los Angeles, CA 90007",34.0189409,-118.2925062
1133 Hope Street,"1133 S Hope St, Los Angeles, CA 90015",34.0419407,-118.2632139
1167 S Hoover St,"1167 S Hoover St, Los Angeles, CA 90006",34.0497036,-118.2842662
1207 S Serrano Ave,"1207 S Serrano Ave, Los Angeles, CA 90006",34.0488686,-118.3064099
1210 Fedora St,"1210 Fedora St, Los Angeles, CA 90006",34.0487878,-118.2977806
1222 W 39th St,"1222 W 39th St, Los Angeles, CA 90037",34.0154235,-118.2980162
1320 S St. Andrews Pl,"1320 S St. Andrews Pl, Los Angeles, CA 90019",33.9267368,-118.3116676
1333 W. 36th Pl.,"1333 W 36th Pl, Los Angeles, CA 90007",34.021949,-118.2984117
1358 W. 36th St.,"1358 W 36th St, Los Angeles, CA 90007",34.0226893,-118.2989808
1400 Fig,"1400 S Figueroa St, Los Angeles, CA 90015",34.039236,-118.2688197
1411 S Bonnie Brae St,"1411 S Bonnie Brae St, Los Angeles, CA 90006",34.0442541,-118.2811591
1432-1436 1/2 Constance St,"1432-1436 1/2 Constance St, Los Angeles, CA 90015",34.045243,-118.273905
1476 W 35th St,"1476 W 35th St, Los Angeles, CA 90018",34.0245328,-118.3025473
15 Units + 1 Non-conforming Unit,"420 S Occidental Blvd, Los Angeles, CA 90057",34.0663819,-118.2829292
1522 S Manhattan Plz,"1522 S Manhattan Plz, Los Angeles, CA 90019",34.044967,-118.31007
1949 Park Grove Ave.,"1949 Park Grove Ave, Los Angeles, CA 90007",34.0353049,-118.2769352
212 E 24th St,"212 E 24th St, Los Angeles, CA 90011",34.0259447,-118.2663814
2221 Western,"2221 S Western Ave, Los Angeles, CA 90018",34.0357712,-118.3090758
255 Grand,"255 S Grand Ave, Los Angeles, CA 90012",34.0542129,-118.2502543
2675 Arlington Ave,"2675 Arlington Ave, Los Angeles, CA 90018",34.0307169,-118.3177602
2783 Francis Ave,"2783-2801 Francis Ave, Los Angeles, CA 90005",34.056897,-118.286255
2801 Sunset Pl Unit FL15-ID702,"2801 Sunset Pl Unit FL15-ID702, Los Angeles, CA 90005",34.060803,-118.284208
3033 Wilshire,"3033 Wilshire Blvd, Los Angeles, CA 90010",34.0618976,-118.2875872
30Sixty,"3060 W Olympic Blvd, Los Angeles, CA 90006",34.0527036,-118.3005943
3420 12th Ave,"3420 12th Ave, Los Angeles, CA 90018",34.0252714,-118.3315519
4040 - 4060 S Hoover St,"4040-4060 S Hoover St, Los Angeles, CA 90037",34.009861,-118.287296
422 South Lake,"422 S Lake St, Los Angeles, CA 90057",34.0616904,-118.2748146
4mica,"751 Valencia St, Los Angeles, CA 90017",34.0516199,-118.2702157
4th & Main,"334 S Main St, Los Angeles, CA 90013",34.0481785,-118.2463485
616 Kenmore,"616 S Kenmore Ave, Los Angeles, CA 90005",34.0634108,-118.2965377
700 S. Berendo - fully renovated unit in K...,"700 S Berendo St, Los Angeles, CA 90005",34.059637,-118.294043
717 Olympic,"717 W Olympic Blvd, Los Angeles, CA 90015",34.0450765,-118.2636174
739 Garland Ave,"739 Garland Ave, Los Angeles, CA 90017",34.0509145,-118.2669381
820 S Wilton Pl Unit 301,"820 S Wilton Pl Unit 301, Los Angeles, CA 90005",34.05753,-118.3141538
839 Fedora St Unit FL6-ID775,"839 Fedora St Unit FL6-ID775, Los Angeles, CA 90005",34.057017,-118.297692
888 at Grand Hope Park,"888 S Hope St, Los Angeles, CA 90017",34.0451839,-118.2599555
8th Street Apartments,"2933 W 8th St, Los Angeles, CA 90005",34.0577973,-118.2899626
922 W 23rd St,"922 W 23rd St, Los Angeles, CA 90007",34.0336568,-118.2807389
936 S Westmoreland Ave,"936 S Westmoreland Ave, Los Angeles, CA 90006",34.0545466,-118.288972
951 S. Oxford - fully renovated unit in Ko...,"951 S Oxford Ave, Los Angeles, CA 90006",34.0538313,-118.3075217
970 Fedora,"970 Fedora St, Los Angeles, CA 90006",34.0535381,-118.2977909
ABY - The Abbey,"3550 W 6th St, Los Angeles, CA 90005",34.0634884,-118.2997858
APEX. The One.,"900 S Figueroa St, Los Angeles, CA 90015",34.0459089,-118.26267
ARW - Arwyn Manor,"3835 W 8th St, LOS ANGELES, CA 90005",34.05812,-118.3103356
AVA Little Tokyo,"236 S Los Angeles St, Los Angeles, CA 90012",34.0494533,-118.243844
Alina,"700 W 9th St, Los Angeles, CA 90015",34.0458346,-118.2619823
Ambassador Towers,"691 Irolo St, Los Angeles, CA 90005",34.0598899,-118.3009982
Ancelle,"701 S Gramercy Dr, Los Angeles, CA 90005",34.059674,-118.312197
Antares,"1419 S New Hampshire Ave, Los Angeles, CA 90006",34.046033,-118.2925163
Apartment for Rent,"1003 W 21st St, Los Angeles, CA 90007",34.0358567,-118.2807495
Apartment for Rent,"1027 Wilshire Blvd, Los Angeles, CA 90017",34.0522206,-118.2628724
Apartment for Rent,"1030 S Norton Ave, Los Angeles, CA 90019",34.0530566,-118.3209902
Apartment for Rent,"1050 Wilshire Blvd, Los Angeles, CA 90017",34.0520636,-118.2629422
Apartment for Rent,"1073 W Exposition Blvd, Los Angeles, CA 90007",34.0187985,-118.3171111
Apartment for Rent,"1100 Exposition Blvd, Los Angeles, CA 90007",34.018081,-118.29456
Apartment for Rent,"1100 Wilshire Blvd, Los Angeles, CA 90017",34.0522355,-118.2636642
Apartment for Rent,"1107 3rd Ave, Los Angeles, CA 90019",34.0507713,-118.3186539
Apartment for Rent,"1120 W 6th St, Los Angeles, CA 90017",34.0533255,-118.26299
Apartment for Rent,"1124 W 49th St, Los Angeles, CA 90037",33.9986132,-118.2943336
Apartment for Rent,"1129 4th Ave, Los Angeles, CA 90019",34.050602,-118.3198766
Apartment for Rent,"1133 S Hope St, Los Angeles, CA 90015",34.0419407,-118.2632139
Apartment for Rent,"1133 S Westmoreland Ave, Los Angeles, CA 90006",34.0542479,-118.2890945
Apartment for Rent,"1142 4th Ave, Los Angeles, CA 90019",34.0502851,-118.3198135
Apartment for Rent,"1155 S Grand Ave, Los Angeles, CA 90015",34.0407317,-118.2630957
Apartment for Rent,"1157 5th Ave, Los Angeles, CA 90019",34.0502347,-118.3212203
Apartment for Rent,"1158 W 37th St, Los Angeles, CA 90007",34.020878,-118.2934561
Apartment for Rent,"1159 5th Ave, Los Angeles, CA 90019",34.0501973,-118.3212382
Apartment for Rent,"1159 W 36th Pl, Los Angeles, CA 90007",34.0221658,-118.2933819
Apartment for Rent,"1164 W 37th Pl, Los Angeles, CA 90007",34.0140691,-118.27404
Apartment for Rent,"1171 W 37th Plz, Los Angeles, CA 90007",34.020033,-118.293243
Apartment for Rent,"1183 Rolland Curtis Pl, Los Angeles, CA 90037",34.016491,-118.297201
Apartment for Rent,"1184 W 30th St, Los Angeles, CA 90007",34.0271513,-118.288667
Apartment for Rent,"1201 S Hope St, Los Angeles, CA 90015",34.040786,-118.264541
Apartment for Rent,"1219 W 25th St, Los Angeles, CA 90007",34.0336624,-118.2870367
Apartment for Rent,"1222 Elden Ave, Los Angeles, CA 90006",34.0486329,-118.2875904
Apartment for Rent,"1226 S Westmoreland Ave, Los Angeles, CA 90006",34.0485811,-118.2889854
Apartment for Rent,"1233 W 39th Pl, Los Angeles, CA 90037",34.0142077,-118.2983641
Apartment for Rent,"1234 Wilshire Blvd, Los Angeles, CA 90017",34.05357,-118.26636
Apartment for Rent,"1251 W 36th Pl, Los Angeles, CA 90007",34.0220055,-118.2962302
Apartment for Rent,"1256 W 37th St, Los Angeles, CA 90007",34.0208844,-118.2962686
Apartment for Rent,"1283 3rd Ave, Los Angeles, CA 90019",34.0477547,-118.3199603
Apartment for Rent,"1296 W 37th Pl, Los Angeles, CA 90007",34.0198839,-118.2975019
Apartment for Rent,"1310 S Wilton Pl, Los Angeles, CA 90019",34.0469759,-118.3143787
Apartment for Rent,"1314 W 22nd St, Los Angeles, CA 90007",34.0361774,-118.2875216
Apartment for Rent,"1314 W 35th Pl, Los Angeles, CA 90007",34.0235978,-118.2978662
Apartment for Rent,"1323 W 12th Pl, Los Angeles, CA 90015",34.0439619,-118.2729905
Apartment for Rent,"1324 Toberman St, Los Angeles, CA 90015",34.0434598,-118.2761962
Apartment for Rent,"1325 Hoover S St, Los Angeles, CA 90006",34.047027,-118.284309
Apartment for Rent,"1339 W 36th Pl, Los Angeles, CA 90007",34.0219498,-118.2985611
Apartment for Rent,"1341 S Union Ave, Los Angeles, CA 90015",34.0439879,-118.2773995
Apartment for Rent,"1343 E 33rd St, Los Angeles, CA 90011",34.0131343,-118.2513053
Apartment for Rent,"1366 W 24th St, Los Angeles, CA 90007",34.0342093,-118.2908277
Apartment for Rent,"1416 W Olympic Blvd, Los Angeles, CA 90015",34.0478692,-118.2714734
Apartment for Rent,"1421 W 35th St, Los Angeles, CA 90018",34.0246898,-118.3009544
Apartment for Rent,"1422 W 29th St, Los Angeles, CA 90007",34.0285918,-118.2922956
Apartment for Rent,"1426 W 27th St, Los Angeles, CA 90007",34.0304022,-118.2933182
Apartment for Rent,"1426 W 38th St, Los Angeles, CA 90062",34.0174084,-118.3028826
Apartment for Rent,"1431 W 36th St, Los Angeles, CA 90018",34.0228684,-118.301645
Apartment for Rent,"147 E 36th St, Los Angeles, CA 90011",34.0167891,-118.2727543
Apartment for Rent,"1477 W 36th St, Los Angeles, CA 90018",34.0228783,-118.3036122
Apartment for Rent,"1479 W 36th St, Los Angeles, CA 90018",34.0228787,-118.3036977
Apartment for Rent,"1510 S Van Ness Ave, Los Angeles, CA 90019",34.045078,-118.3155924
Apartment for Rent,"1515 Wilshire Blvd, Los Angeles, CA 90017",34.0548093,-118.2686684
Apartment for Rent,"1570 W 36th St, Los Angeles, CA 90018",34.0227206,-118.3052836
Apartment for Rent,"1580 W 30th St, Los Angeles, CA 90007",34.0272284,-118.2997744
Apartment for Rent,"1640 W Vernon Ave, Los Angeles, CA 90062",34.0036324,-118.3082795
Apartment for Rent,"1659 W 36th Pl, Los Angeles, CA 90018",34.0219676,-118.3076874
Apartment for Rent,"1711 S New Hampshire Ave, Los Angeles, CA 90006",34.0426374,-118.2924955
Apartment for Rent,"1720 Miramar St, Los Angeles, CA 90026",34.061877,-118.268253
Apartment for Rent,"1740 S New England St, Los Angeles, CA 90006",34.0425212,-118.2875974
Apartment for Rent,"17550 W 45th St, Los Angeles, CA 90062",34.0028146,-118.3068608
Apartment for Rent,"1765 W 38th St, Los Angeles, CA 90062",34.017437,-118.3124333
Apartment for Rent,"1815 W 12th St, Los Angeles, CA 90006",34.0477346,-118.2791872
Apartment for Rent,"1817 W 12th St, Los Angeles, CA 90006",34.0477388,-118.2791966
Apartment for Rent,"1830 W Jefferson Blvd, Los Angeles, CA 90018",34.0254698,-118.3098667
Apartment for Rent,"1935 W 23rd St, Los Angeles, CA 90018",34.0355214,-118.304608
Apartment for Rent,"2121 James M Wood Blvd, Los Angeles, CA 90006",34.0537955,-118.2794935
Apartment for Rent,"215 W 5th St, Los Angeles, CA 90013",34.0475574,-118.249726
Apartment for Rent,"2209 Crenshaw Blvd, Los Angeles, CA 90016",34.0375624,-118.332442
Apartment for Rent,"221 Lucas Ave, Los Angeles, CA 90026",34.0603391,-118.2604518
Apartment for Rent,"222 S Main St, Los Angeles, CA 90012",34.0500292,-118.2444028
Apartment for Rent,"2231 Ellendale Pl, Los Angeles, CA 90007",34.0353563,-118.2891811
Apartment for Rent,"225 S Grand Ave, Los Angeles, CA 90012",34.0541727,-118.2513144
Apartment for Rent,"225 S Olive St, Los Angeles, CA 90012",34.0532819,-118.2498532
Apartment for Rent,"2288 W 27th St, Los Angeles, CA 90018",34.0307498,-118.3172871
Apartment for Rent,"2331 Portland St, Los Angeles, CA 90007",34.0330235,-118.2816283
Apartment for Rent,"235 E 28th St, Los Angeles, CA 90011",34.0226851,-118.2681679
Apartment for Rent,"236 S Los Angeles St, Los Angeles, CA 90012",34.0494533,-118.243844
Apartment for Rent,"236 W 39th St, Los Angeles, CA 90037",34.0122097,-118.277305
Apartment for Rent,"238 E Vernon Ave, Los Angeles, CA 90011",34.0037633,-118.2712247
Apartment for Rent,"2404 5th Ave, Los Angeles, CA 90018",34.0349676,-118.3223329
Apartment for Rent,"253 S Broadway, Los Angeles, CA 90012",34.0513222,-118.2479951
