Name,Location,Total,Arson,Assault,Burglary,Disturbing the Peace,Drugs/Alcohol Violations,DUI,Fraud,Homicide,Motor Vehicle Theft,Robbery,Sex Crimes,Theft/Larceny,Vandalism,Vehicle Break-In/Theft,Weapons
1000 Grand by Windsor,"1000 S Grand Ave, Los Angeles, CA 90015",263,1,32,5,0,0,0,0,0,56,19,1,83,0,66,0
1029 S. Union Ave.,"1029 S Union Ave, Los Angeles, CA 90015",72,1,19,5,0,0,0,0,1,12,8,0,12,0,14,0
1050 S Grand Ave Unit 705,"1050 S Grand Ave Unit 705, Los Angeles, CA 90015",240,1,32,4,0,0,0,0,0,55,13,1,70,0,64,0
1111 Wilshire,"1111 Wilshire Blvd, Los Angeles, CA 90017",160,1,30,9,0,0,0,0,1,17,17,1,57,0,27,0
1118 W 37th Dr,"1118 W 37th Dr, Los Angeles, CA 90007",47,0,6,3,0,0,0,0,0,13,2,0,17,0,6,0
1133 Hope Street,"1133 S Hope St, Los Angeles, CA 90015",224,1,29,3,0,0,0,0,0,53,13,1,67,0,57,0
1167 S Hoover St,"1167 S Hoover St, Los Angeles, CA 90006",70,0,16,11,0,0,0,0,0,12,10,0,8,0,13,0
1207 S Serrano Ave,"1207 S Serrano Ave, Los Angeles, CA 90006",58,1,7,17,0,0,0,0,0,13,2,0,9,0,9,0
1210 Fedora St,"1210 Fedora St, Los Angeles, CA 90006",51,0,4,23,0,0,0,0,0,6,6,0,6,0,6,0
1222 W 39th St,"1222 W 39th St, Los Angeles, CA 90037",37,0,8,7,0,0,0,0,0,9,2,1,4,0,6,0
1320 S St. Andrews Pl,"1320 S St. Andrews Pl, Los Angeles, CA 90019",57,3,6,10,0,0,0,0,0,11,6,0,12,0,9,0
1333 W. 36th Pl.,"1333 W 36th Pl, Los Angeles, CA 90007",44,0,5,7,0,0,0,0,0,12,2,0,10,0,8,0
1358 W. 36th St.,"1358 W 36th St, Los Angeles, CA 90007",41,0,5,8,0,0,0,0,0,11,1,0,8,0,8,0
1400 Fig,"1400 S Figueroa St, Los Angeles, CA 90015",127,1,20,4,0,0,0,0,0,35,8,1,21,0,37,0
1411 S Bonnie Brae St,"1411 S Bonnie Brae St, Los Angeles, CA 90006",46,0,11,5,0,0,0,0,0,11,6,0,4,0,9,0
1432-1436 1/2 Constance St,"1432-1436 1/2 Constance St, Los Angeles, CA 90015",41,0,11,4,0,0,0,0,0,8,6,0,3,0,9,0
1476 W 35th St,"1476 W 35th St, Los Angeles, CA 90018",36,0,5,6,0,0,0,0,0,10,3,0,6,0,6,0
15 Units + 1 Non-conforming Unit,"420 S Occidental Blvd, Los Angeles, CA 90057",53,1,15,5,0,0,0,0,0,6,5,1,10,0,10,0
1522 S Manhattan Plz,"1522 S Manhattan Plz, Los Angeles, CA 90019",45,2,5,10,0,0,0,0,0,8,3,0,9,0,8,0
1949 Park Grove Ave.,"1949 Park Grove Ave, Los Angeles, CA 90007",45,1,9,3,0,0,0,0,0,7,6,0,12,0,7,0
212 E 24th St,"212 E 24th St, Los Angeles, CA 90011",52,0,10,7,0,0,0,0,0,16,2,0,7,0,10,0
2221 Western,"2221 S Western Ave, Los Angeles, CA 90018",20,0,1,1,0,0,0,0,0,6,1,1,3,0,7,0
255 Grand,"255 S Grand Ave, Los Angeles, CA 90012",83,0,19,3,0,0,0,0,0,13,7,1,18,0,22,0
2675 Arlington Ave,"2675 Arlington Ave, Los Angeles, CA 90018",25,0,3,0,0,0,0,0,0,11,1,1,1,0,8,0
2783 Francis Ave,"2783-2801 Francis Ave, Los Angeles, CA 90005",21,1,1,8,0,0,0,0,0,2,1,0,5,0,3,0
2801 Sunset Pl Unit FL15-ID702,"2801 Sunset Pl Unit FL15-ID702, Los Angeles, CA 90005",65,0,20,7,0,0,0,0,2,12,5,1,10,0,8,0
3033 Wilshire,"3033 Wilshire Blvd, Los Angeles, CA 90010",75,0,22,9,0,0,0,0,3,12,10,1,10,0,8,0
