Name,Location,Distance(meter)
1000 Grand by Windsor,"1000 S Grand Ave, Los Angeles, CA 90015",3201.37442711609
1029 S. Union Ave.,"1029 S Union Ave, Los Angeles, CA 90015",3088.0725355123504
1050 S Grand Ave Unit 705,"1050 S Grand Ave Unit 705, Los Angeles, CA 90015",3112.955575033835
1111 Wilshire,"1111 Wilshire Blvd, Los Angeles, CA 90017",3894.343071442732
1118 W 37th Dr,"1118 W 37th Dr, Los Angeles, CA 90007",783.4851990072362
1133 Hope Street,"1133 S Hope St, Los Angeles, CA 90015",2964.5675804785046
1167 S Hoover St,"1167 S Hoover St, Los Angeles, CA 90006",3036.993804905432
1207 S Serrano Ave,"1207 S Serrano Ave, Los Angeles, CA 90006",3538.091530589528
1210 Fedora St,"1210 Fedora St, Los Angeles, CA 90006",3158.28842026038
1222 W 39th St,"1222 W 39th St, Los Angeles, CA 90037",1420.8696248124988
1320 S St. Andrews Pl,"1320 S St. Andrews Pl, Los Angeles, CA 90019",10915.730391881283
1333 W. 36th Pl.,"1333 W 36th Pl, Los Angeles, CA 90007",1227.8401457116788
1358 W. 36th St.,"1358 W 36th St, Los Angeles, CA 90007",1279.6630716279465
1400 Fig,"1400 S Figueroa St, Los Angeles, CA 90015",2399.0473864063324
1411 S Bonnie Brae St,"1411 S Bonnie Brae St, Los Angeles, CA 90006",2457.049626489376
1432-1436 1/2 Constance St,"1432-1436 1/2 Constance St, Los Angeles, CA 90015",2741.518529157001
1476 W 35th St,"1476 W 35th St, Los Angeles, CA 90018",1625.3261357502747
15 Units + 1 Non-conforming Unit,"420 S Occidental Blvd, Los Angeles, CA 90057",4894.6523543693165
1522 S Manhattan Plz,"1522 S Manhattan Plz, Los Angeles, CA 90019",3404.5695963815406
1949 Park Grove Ave.,"1949 Park Grove Ave, Los Angeles, CA 90007",1620.2580181636115
212 E 24th St,"212 E 24th St, Los Angeles, CA 90011",1769.5346178208072
2221 Western,"2221 S Western Ave, Los Angeles, CA 90018",2663.129160950395
255 Grand,"255 S Grand Ave, Los Angeles, CA 90012",4777.303387743325
2675 Arlington Ave,"2675 Arlington Ave, Los Angeles, CA 90018",3148.703666501568
2783 Francis Ave,"2783-2801 Francis Ave, Los Angeles, CA 90005",3837.367419744346
2801 Sunset Pl Unit FL15-ID702,"2801 Sunset Pl Unit FL15-ID702, Los Angeles, CA 90005",4271.009632252018
3033 Wilshire,"3033 Wilshire Blvd, Los Angeles, CA 90010",4397.907590524317
30Sixty,"3060 W Olympic Blvd, Los Angeles, CA 90006",3659.589460085862
3420 12th Ave,"3420 12th Ave, Los Angeles, CA 90018",4292.845873877496
4040 - 4060 S Hoover St,"4040-4060 S Hoover St, Los Angeles, CA 90037",1408.8872187269149
422 South Lake,"422 S Lake St, Los Angeles, CA 90057",4470.496525944223
4mica,"751 Valencia St, Los Angeles, CA 90017",3526.7143636684327
4th & Main,"334 S Main St, Los Angeles, CA 90013",4578.993032901008
616 Kenmore,"616 S Kenmore Ave, Los Angeles, CA 90005",4680.379969984536
700 S. Berendo - fully renovated unit in K...,"700 S Berendo St, Los Angeles, CA 90005",4221.762087961984
717 Olympic,"717 W Olympic Blvd, Los Angeles, CA 90015",3205.7393860810203
739 Garland Ave,"739 Garland Ave, Los Angeles, CA 90017",3585.223688996341
820 S Wilton Pl Unit 301,"820 S Wilton Pl Unit 301, Los Angeles, CA 90005",4735.571831754252
839 Fedora St Unit FL6-ID775,"839 Fedora St Unit FL6-ID775, Los Angeles, CA 90005",4020.2963926643447
888 at Grand Hope Park,"888 S Hope St, Los Angeles, CA 90017",3433.2141634525738
8th Street Apartments,"2933 W 8th St, Los Angeles, CA 90005",3961.4192607550326
922 W 23rd St,"922 W 23rd St, Los Angeles, CA 90007",1314.6366592823708
936 S Westmoreland Ave,"936 S Westmoreland Ave, Los Angeles, CA 90006",3592.2998415987136
951 S. Oxford - fully renovated unit in Ko...,"951 S Oxford Ave, Los Angeles, CA 90006",4059.9797347602566
970 Fedora,"970 Fedora St, Los Angeles, CA 90006",3654.540351171055
ABY - The Abbey,"3550 W 6th St, Los Angeles, CA 90005",4764.983825285543
APEX. The One.,"900 S Figueroa St, Los Angeles, CA 90015",3332.4655532972406
ARW - Arwyn Manor,"3835 W 8th St, LOS ANGELES, CA 90005",4602.452564067515
AVA Little Tokyo,"236 S Los Angeles St, Los Angeles, CA 90012",4847.79394584994
Alina,"700 W 9th St, Los Angeles, CA 90015",3365.7356073462583
Ambassador Towers,"691 Irolo St, Los Angeles, CA 90005",4418.570831638904
Ancelle,"701 S Gramercy Dr, Los Angeles, CA 90005",4838.594506790134
Antares,"1419 S New Hampshire Ave, Los Angeles, CA 90006",2715.27661145126
Apartment for Rent,"1003 W 21st St, Los Angeles, CA 90007",1549.0947436144456
Apartment for Rent,"1027 Wilshire Blvd, Los Angeles, CA 90017",3897.4466001894416
Apartment for Rent,"1030 S Norton Ave, Los Angeles, CA 90019",4749.416661456327
Apartment for Rent,"1050 Wilshire Blvd, Los Angeles, CA 90017",3879.2167439455575
Apartment for Rent,"1073 W Exposition Blvd, Los Angeles, CA 90007",2977.2762618741176
Apartment for Rent,"1100 Exposition Blvd, Los Angeles, CA 90007",995.3797954709293
Apartment for Rent,"1100 Wilshire Blvd, Los Angeles, CA 90017",3861.028112236764
Apartment for Rent,"1107 3rd Ave, Los Angeles, CA 90019",4417.216279427773
Apartment for Rent,"1120 W 6th St, Los Angeles, CA 90017",3996.95354613944
Apartment for Rent,"1124 W 49th St, Los Angeles, CA 90037",2778.530497860726
Apartment for Rent,"1129 4th Ave, Los Angeles, CA 90019",4483.611913334075
Apartment for Rent,"1133 S Hope St, Los Angeles, CA 90015",2964.5675804785046
Apartment for Rent,"1133 S Westmoreland Ave, Los Angeles, CA 90006",3560.400896533562
Apartment for Rent,"1142 4th Ave, Los Angeles, CA 90019",4454.864798176286
Apartment for Rent,"1155 S Grand Ave, Los Angeles, CA 90015",2875.176312545417
Apartment for Rent,"1157 5th Ave, Los Angeles, CA 90019",4545.019252685269
Apartment for Rent,"1158 W 37th St, Los Angeles, CA 90007",788.4855300252336
Apartment for Rent,"1159 5th Ave, Los Angeles, CA 90019",4543.39756562157
Apartment for Rent,"1159 W 36th Pl, Los Angeles, CA 90007",763.7088634543564
Apartment for Rent,"1164 W 37th Pl, Los Angeles, CA 90007",1377.3869924924736
Apartment for Rent,"1171 W 37th Plz, Los Angeles, CA 90007",795.2881239477948
Apartment for Rent,"1183 Rolland Curtis Pl, Los Angeles, CA 90037",1294.42980414104
Apartment for Rent,"1184 W 30th St, Los Angeles, CA 90007",622.2411414046912
Apartment for Rent,"1201 S Hope St, Los Angeles, CA 90015",2787.275650573348
