Name,Location,Price(in $)
1000 Grand by Windsor,"1000 S Grand Ave, Los Angeles, CA 90015",3095.0
1029 S. Union Ave.,"1029 S Union Ave, Los Angeles, CA 90015",1495.0
1050 S Grand Ave Unit 705,"1050 S Grand Ave Unit 705, Los Angeles, CA 90015",2950.0
1111 Wilshire,"1111 Wilshire Blvd, Los Angeles, CA 90017",3813.0
1118 W 37th Dr,"1118 W 37th Dr, Los Angeles, CA 90007",3300.0
1133 Hope Street,"1133 S Hope St, Los Angeles, CA 90015",5800.0
1167 S Hoover St,"1167 S Hoover St, Los Angeles, CA 90006",1545.0
1207 S Serrano Ave,"1207 S Serrano Ave, Los Angeles, CA 90006",2800.0
1222 W 39th St,"1222 W 39th St, Los Angeles, CA 90037",1825.0
1320 S St. Andrews Pl,"1320 S St. Andrews Pl, Los Angeles, CA 90019",2197.0
1333 W. 36th Pl.,"1333 W 36th Pl, Los Angeles, CA 90007",2447.0
1358 W. 36th St.,"1358 W 36th St, Los Angeles, CA 90007",2495.0
1400 Fig,"1400 S Figueroa St, Los Angeles, CA 90015",2925.0
1411 S Bonnie Brae St,"1411 S Bonnie Brae St, Los Angeles, CA 90006",3100.0
1432-1436 1/2 Constance St,"1432-1436 1/2 Constance St, Los Angeles, CA 90015",2995.0
15 Units + 1 Non-conforming Unit,"420 S Occidental Blvd, Los Angeles, CA 90057",2450.0
1522 S Manhattan Plz,"1522 S Manhattan Plz, Los Angeles, CA 90019",3800.0
1949 Park Grove Ave.,"1949 Park Grove Ave, Los Angeles, CA 90007",2245.0
212 E 24th St,"212 E 24th St, Los Angeles, CA 90011",4875.0
2221 Western,"2221 S Western Ave, Los Angeles, CA 90018",2974.0
255 Grand,"255 S Grand Ave, Los Angeles, CA 90012",3384.0
2675 Arlington Ave,"2675 Arlington Ave, Los Angeles, CA 90018",2145.0
2783 Francis Ave,"2783-2801 Francis Ave, Los Angeles, CA 90005",3350.0
