Name,Location,Price(in $),Latitude,Longitude,Distance(meter),Total,Arson,Assault,Burglary,Homicide,Motor Vehicle Theft,Robbery,Sex Crimes,Theft/Larceny,Vehicle Break-In/Theft
1000 Grand by Windsor,"1000 S Grand Ave, Los Angeles, CA 90015",3095.0,34.042842,-118.260636,3201.37442711609,263,1,32,5,0,56,19,1,83,66
1029 S. Union Ave.,"1029 S Union Ave, Los Angeles, CA 90015",1495.0,34.048766,-118.274573,3088.0725355123504,72,1,19,5,1,12,8,0,12,14
1050 S Grand Ave Unit 705,"1050 S Grand Ave Unit 705, Los Angeles, CA 90015",2950.0,34.0422099,-118.2612299,3112.955575033835,240,1,32,4,0,55,13,1,70,64
1111 Wilshire,"1111 Wilshire Blvd, Los Angeles, CA 90017",3813.0,34.0524916,-118.2634765,3894.343071442732,160,1,30,9,1,17,17,1,57,27
1118 W 37th Dr,"1118 W 37th Dr, Los Angeles, CA 90007",3300.0,34.0189409,-118.2925062,783.4851990072362,47,0,6,3,0,13,2,0,17,6
1133 Hope Street,"1133 S Hope St, Los Angeles, CA 90015",5800.0,34.0419407,-118.2632139,2964.5675804785046,224,1,29,3,0,53,13,1,67,57
1167 S Hoover St,"1167 S Hoover St, Los Angeles, CA 90006",1545.0,34.0497036,-118.2842662,3036.993804905432,70,0,16,11,0,12,10,0,8,13
1207 S Serrano Ave,"1207 S Serrano Ave, Los Angeles, CA 90006",2800.0,34.0488686,-118.3064099,3538.091530589528,58,1,7,17,0,13,2,0,9,9
1222 W 39th St,"1222 W 39th St, Los Angeles, CA 90037",1825.0,34.0154235,-118.2980162,1420.8696248124988,37,0,8,7,0,9,2,1,4,6
1333 W. 36th Pl.,"1333 W 36th Pl, Los Angeles, CA 90007",2447.0,34.021949,-118.2984117,1227.8401457116788,44,0,5,7,0,12,2,0,10,8
1358 W. 36th St.,"1358 W 36th St, Los Angeles, CA 90007",2495.0,34.0226893,-118.2989808,1279.6630716279465,41,0,5,8,0,11,1,0,8,8
1400 Fig,"1400 S Figueroa St, Los Angeles, CA 90015",2925.0,34.039236,-118.2688197,2399.0473864063324,127,1,20,4,0,35,8,1,21,37
1411 S Bonnie Brae St,"1411 S Bonnie Brae St, Los Angeles, CA 90006",3100.0,34.0442541,-118.2811591,2457.049626489376,46,0,11,5,0,11,6,0,4,9
1432-1436 1/2 Constance St,"1432-1436 1/2 Constance St, Los Angeles, CA 90015",2995.0,34.045243,-118.273905,2741.518529157001,41,0,11,4,0,8,6,0,3,9
15 Units + 1 Non-conforming Unit,"420 S Occidental Blvd, Los Angeles, CA 90057",2450.0,34.0663819,-118.2829292,4894.6523543693165,53,1,15,5,0,6,5,1,10,10
1522 S Manhattan Plz,"1522 S Manhattan Plz, Los Angeles, CA 90019",3800.0,34.044967,-118.31007,3404.5695963815406,45,2,5,10,0,8,3,0,9,8
1949 Park Grove Ave.,"1949 Park Grove Ave, Los Angeles, CA 90007",2245.0,34.0353049,-118.2769352,1620.2580181636115,45,1,9,3,0,7,6,0,12,7
212 E 24th St,"212 E 24th St, Los Angeles, CA 90011",4875.0,34.0259447,-118.2663814,1769.5346178208072,52,0,10,7,0,16,2,0,7,10
2221 Western,"2221 S Western Ave, Los Angeles, CA 90018",2974.0,34.0357712,-118.3090758,2663.129160950395,20,0,1,1,0,6,1,1,3,7
255 Grand,"255 S Grand Ave, Los Angeles, CA 90012",3384.0,34.0542129,-118.2502543,4777.303387743325,83,0,19,3,0,13,7,1,18,22
2675 Arlington Ave,"2675 Arlington Ave, Los Angeles, CA 90018",2145.0,34.0307169,-118.3177602,3148.703666501568,25,0,3,0,0,11,1,1,1,8
2783 Francis Ave,"2783-2801 Francis Ave, Los Angeles, CA 90005",3350.0,34.056897,-118.286255,3837.367419744346,21,1,1,8,0,2,1,0,5,3
2801 Sunset Pl Unit FL15-ID702,"2801 Sunset Pl Unit FL15-ID702, Los Angeles, CA 90005",4250.0,34.060803,-118.284208,4271.009632252018,65,0,20,7,2,12,5,1,10,8
3033 Wilshire,"3033 Wilshire Blvd, Los Angeles, CA 90010",4277.0,34.0618976,-118.2875872,4397.907590524317,75,0,22,9,3,12,10,1,10,8
30Sixty,"3060 W Olympic Blvd, Los Angeles, CA 90006",2770.0,34.0527036,-118.3005943,3659.589460085862,59,0,5,21,0,14,3,0,8,8
3420 12th Ave,"3420 12th Ave, Los Angeles, CA 90018",4500.0,34.0252714,-118.3315519,4292.845873877496,34,1,5,6,0,4,1,0,10,7
4040 - 4060 S Hoover St,"4040-4060 S Hoover St, Los Angeles, CA 90037",2810.0,34.009861,-118.287296,1408.8872187269149,30,0,11,2,0,8,3,0,3,3
422 South Lake,"422 S Lake St, Los Angeles, CA 90057",2445.0,34.0616904,-118.2748146,4470.496525944223,73,0,26,9,0,8,12,0,11,7
4mica,"751 Valencia St, Los Angeles, CA 90017",1750.0,34.0516199,-118.2702157,3526.7143636684327,95,1,22,12,1,17,16,0,14,12
4th & Main,"334 S Main St, Los Angeles, CA 90013",2950.0,34.0481785,-118.2463485,4578.993032901008,197,1,61,7,0,23,23,2,45,35
616 Kenmore,"616 S Kenmore Ave, Los Angeles, CA 90005",2445.0,34.0634108,-118.2965377,4680.379969984536,75,0,20,11,2,8,10,0,13,11
700 S. Berendo - fully renovated unit in K...,"700 S Berendo St, Los Angeles, CA 90005",1998.0,34.059637,-118.294043,4221.762087961984,77,0,21,10,2,11,12,1,11,9
717 Olympic,"717 W Olympic Blvd, Los Angeles, CA 90015",5684.0,34.0450765,-118.2636174,3205.7393860810203,242,1,35,7,1,44,17,0,80,57
739 Garland Ave,"739 Garland Ave, Los Angeles, CA 90017",925.0,34.0509145,-118.2669381,3585.223688996341,145,1,29,7,1,23,15,1,47,21
820 S Wilton Pl Unit 301,"820 S Wilton Pl Unit 301, Los Angeles, CA 90005",3875.0,34.05753,-118.3141538,4735.571831754252,44,1,9,7,0,9,2,0,7,9
839 Fedora St Unit FL6-ID775,"839 Fedora St Unit FL6-ID775, Los Angeles, CA 90005",3760.0,34.057017,-118.297692,4020.2963926643447,58,0,14,9,2,9,9,0,6,9
888 at Grand Hope Park,"888 S Hope St, Los Angeles, CA 90017",7009.0,34.0451839,-118.2599555,3433.2141634525738,256,1,32,7,0,45,20,0,92,59
8th Street Apartments,"2933 W 8th St, Los Angeles, CA 90005",1537.0,34.0577973,-118.2899626,3961.4192607550326,73,0,19,7,3,13,12,1,8,10
922 W 23rd St,"922 W 23rd St, Los Angeles, CA 90007",3950.0,34.0336568,-118.2807389,1314.6366592823708,48,0,6,3,0,9,3,0,23,4
936 S Westmoreland Ave,"936 S Westmoreland Ave, Los Angeles, CA 90006",2145.0,34.0545466,-118.288972,3592.2998415987136,70,0,14,12,3,15,8,0,5,13
951 S. Oxford - fully renovated unit in Ko...,"951 S Oxford Ave, Los Angeles, CA 90006",2048.0,34.0538313,-118.3075217,4059.9797347602566,62,0,9,12,0,14,3,0,14,10
970 Fedora,"970 Fedora St, Los Angeles, CA 90006",2634.0,34.0535381,-118.2977909,3654.540351171055,57,0,7,21,1,10,7,0,6,5
ABY - The Abbey,"3550 W 6th St, Los Angeles, CA 90005",2395.0,34.0634884,-118.2997858,4764.983825285543,66,0,17,9,1,11,7,0,8,13
APEX. The One.,"900 S Figueroa St, Los Angeles, CA 90015",5314.0,34.0459089,-118.26267,3332.4655532972406,250,1,36,7,1,45,20,0,80,60
ARW - Arwyn Manor,"3835 W 8th St, LOS ANGELES, CA 90005",1700.0,34.05812,-118.3103356,4602.452564067515,52,0,11,4,0,13,4,0,9,11
AVA Little Tokyo,"236 S Los Angeles St, Los Angeles, CA 90012",3602.0,34.0494533,-118.243844,4847.79394584994,165,1,55,7,0,18,19,2,32,31
Alina,"700 W 9th St, Los Angeles, CA 90015",7404.0,34.0458346,-118.2619823,3365.7356073462583,251,1,37,6,1,45,20,0,81,60
Ambassador Towers,"691 Irolo St, Los Angeles, CA 90005",2810.0,34.0598899,-118.3009982,4418.570831638904,77,0,19,9,1,12,8,0,11,17
Ancelle,"701 S Gramercy Dr, Los Angeles, CA 90005",1837.0,34.059674,-118.312197,4838.594506790134,47,0,13,3,0,10,4,0,8,9
Antares,"1419 S New Hampshire Ave, Los Angeles, CA 90006",3450.0,34.046033,-118.2925163,2715.27661145126,51,0,9,14,0,7,8,0,5,8
Apartment for Rent,"1003 W 21st St, Los Angeles, CA 90007",3500.0,34.0358567,-118.2807495,1549.0947436144456,34,0,7,3,0,8,4,0,8,4
Apartment for Rent,"1027 Wilshire Blvd, Los Angeles, CA 90017",3913.0,34.0522206,-118.2628724,3897.4466001894416,152,0,26,7,1,17,16,1,56,28
Apartment for Rent,"1030 S Norton Ave, Los Angeles, CA 90019",4200.0,34.0530566,-118.3209902,4749.416661456327,45,3,5,10,0,8,7,0,8,4
Apartment for Rent,"1050 Wilshire Blvd, Los Angeles, CA 90017",3153.333333333333,34.0520636,-118.2629422,3879.2167439455575,180,1,32,9,1,25,15,1,65,31
Apartment for Rent,"1073 W Exposition Blvd, Los Angeles, CA 90007",2887.0,34.0187985,-118.3171111,2977.2762618741176,50,0,6,6,0,12,2,0,15,9
Apartment for Rent,"1100 Exposition Blvd, Los Angeles, CA 90007",1118.0,34.018081,-118.29456,995.3797954709293,43,0,5,6,0,12,2,0,10,8
Apartment for Rent,"1100 Wilshire Blvd, Los Angeles, CA 90017",4600.0,34.0522355,-118.2636642,3861.028112236764,171,1,28,9,1,22,17,1,63,29
Apartment for Rent,"1107 3rd Ave, Los Angeles, CA 90019",3000.0,34.0507713,-118.3186539,4417.216279427773,47,4,5,11,0,9,7,0,8,3
Apartment for Rent,"1120 W 6th St, Los Angeles, CA 90017",3090.0,34.0533255,-118.26299,3996.95354613944,112,1,28,8,1,16,14,1,26,17
Apartment for Rent,"1124 W 49th St, Los Angeles, CA 90037",4125.0,33.9986132,-118.2943336,2778.530497860726,42,1,11,3,1,9,7,0,3,7
Apartment for Rent,"1129 4th Ave, Los Angeles, CA 90019",2795.0,34.050602,-118.3198766,4483.611913334075,45,4,5,10,0,8,7,0,8,3
Apartment for Rent,"1133 S Hope St, Los Angeles, CA 90015",3747.5,34.0419407,-118.2632139,2964.5675804785046,229,1,30,3,0,54,13,1,70,57
Apartment for Rent,"1133 S Westmoreland Ave, Los Angeles, CA 90006",1345.0,34.0542479,-118.2890945,3560.400896533562,66,0,13,16,0,12,10,0,5,10
Apartment for Rent,"1142 4th Ave, Los Angeles, CA 90019",3500.0,34.0502851,-118.3198135,4454.864798176286,45,4,5,10,0,8,7,0,8,3
Apartment for Rent,"1155 S Grand Ave, Los Angeles, CA 90015",3150.0,34.0407317,-118.2630957,2875.176312545417,232,1,28,3,0,55,15,1,72,57
Apartment for Rent,"1157 5th Ave, Los Angeles, CA 90019",1745.0,34.0502347,-118.3212203,4545.019252685269,47,4,5,9,0,9,8,0,8,4
Apartment for Rent,"1158 W 37th St, Los Angeles, CA 90007",6814.0,34.020878,-118.2934561,788.4855300252336,56,0,5,6,0,13,2,0,21,9
Apartment for Rent,"1159 5th Ave, Los Angeles, CA 90019",1595.0,34.0501973,-118.3212382,4543.39756562157,45,4,5,10,0,7,8,0,8,3
Apartment for Rent,"1159 W 36th Pl, Los Angeles, CA 90007",3825.0,34.0221658,-118.2933819,763.7088634543564,57,0,5,6,0,12,2,0,23,9
Apartment for Rent,"1164 W 37th Pl, Los Angeles, CA 90007",6300.0,34.0140691,-118.27404,1377.3869924924736,50,0,5,6,0,12,2,0,17,8
Apartment for Rent,"1171 W 37th Plz, Los Angeles, CA 90007",1570.0,34.020033,-118.293243,795.2881239477948,51,0,5,6,0,12,2,0,17,9
Apartment for Rent,"1183 Rolland Curtis Pl, Los Angeles, CA 90037",3497.0,34.016491,-118.297201,1294.42980414104,41,0,8,7,0,11,2,1,5,7
Apartment for Rent,"1184 W 30th St, Los Angeles, CA 90007",1600.0,34.0271513,-118.288667,622.2411414046912,81,0,6,6,0,21,1,0,40,7
Apartment for Rent,"1201 S Hope St, Los Angeles, CA 90015",9085.714285714286,34.040786,-118.264541,2787.275650573348,207,1,28,3,0,49,10,1,63,52
Apartment for Rent,"1219 W 25th St, Los Angeles, CA 90007",4890.0,34.0336624,-118.2870367,1264.9755656242123,53,0,6,6,0,16,4,0,16,5
Apartment for Rent,"1222 Elden Ave, Los Angeles, CA 90006",3650.0,34.0486329,-118.2875904,2925.978227045517,60,0,12,10,0,10,10,0,6,12
Apartment for Rent,"1226 S Westmoreland Ave, Los Angeles, CA 90006",2200.0,34.0485811,-118.2889854,2933.138135293824,56,0,10,10,0,10,10,0,5,11
Apartment for Rent,"1233 W 39th Pl, Los Angeles, CA 90037",1575.0,34.0142077,-118.2983641,1524.5602708013778,39,1,10,6,0,9,2,1,4,6
Apartment for Rent,"1234 Wilshire Blvd, Los Angeles, CA 90017",3687.5,34.05357,-118.26636,3872.275076451697,148,1,31,11,1,19,17,1,51,16
Apartment for Rent,"1251 W 36th Pl, Los Angeles, CA 90007",2750.0,34.0220055,-118.2962302,1026.7042218075146,47,0,5,9,0,12,2,0,11,8
Apartment for Rent,"1256 W 37th St, Los Angeles, CA 90007",3390.0,34.0208844,-118.2962686,1043.0174933805597,44,0,5,5,0,15,2,0,9,8
Apartment for Rent,"1283 3rd Ave, Los Angeles, CA 90019",3300.0,34.0477547,-118.3199603,4274.008986787894,46,4,7,8,0,10,8,0,5,4
Apartment for Rent,"1296 W 37th Pl, Los Angeles, CA 90007",4814.0,34.0198839,-118.2975019,1176.7253883102453,45,0,5,9,0,13,2,1,7,8
Apartment for Rent,"1310 S Wilton Pl, Los Angeles, CA 90019",1550.0,34.0469759,-118.3143787,3840.137291622169,53,3,5,9,0,10,4,0,12,10
Apartment for Rent,"1314 W 22nd St, Los Angeles, CA 90007",1995.0,34.0361774,-118.2875216,1548.144957023534,52,0,8,5,0,15,4,0,15,5
Apartment for Rent,"1314 W 35th Pl, Los Angeles, CA 90007",6040.0,34.0235978,-118.2978662,1184.0453620048631,47,0,5,9,0,11,1,0,11,10
Apartment for Rent,"1323 W 12th Pl, Los Angeles, CA 90015",1695.0,34.0439619,-118.2729905,2644.5298459678543,77,0,19,5,1,17,8,0,12,15
Apartment for Rent,"1324 Toberman St, Los Angeles, CA 90015",2700.0,34.0434598,-118.2761962,2481.318493202454,42,0,14,3,0,6,6,0,3,10
Apartment for Rent,"1325 Hoover S St, Los Angeles, CA 90006",1510.0,34.047027,-118.284309,2739.367326750435,62,0,17,6,0,12,9,0,7,11
Apartment for Rent,"1339 W 36th Pl, Los Angeles, CA 90007",7240.0,34.0219498,-118.2985611,1241.5939969367262,48,0,7,9,0,12,2,0,10,8
Apartment for Rent,"1341 S Union Ave, Los Angeles, CA 90015",1995.0,34.0439879,-118.2773995,2503.148385137545,46,0,13,4,0,8,7,0,3,11
Apartment for Rent,"1343 E 33rd St, Los Angeles, CA 90011",1400.0,34.0131343,-118.2513053,3280.686283078182,35,0,3,1,0,9,3,0,15,4
Apartment for Rent,"1366 W 24th St, Los Angeles, CA 90007",3200.0,34.0342093,-118.2908277,1415.247968775633,53,0,6,5,0,17,3,0,16,6
Apartment for Rent,"1416 W Olympic Blvd, Los Angeles, CA 90015",1445.0,34.0478692,-118.2714734,3097.9232363426186,89,1,20,5,1,17,11,0,18,16
Apartment for Rent,"1421 W 35th St, Los Angeles, CA 90018",1225.0,34.0246898,-118.3009544,1483.147452908311,41,0,5,9,0,10,4,0,5,8
Apartment for Rent,"1422 W 29th St, Los Angeles, CA 90007",3900.0,34.0285918,-118.2922956,955.9096768579842,66,0,7,4,0,17,1,0,29,8
Apartment for Rent,"1426 W 27th St, Los Angeles, CA 90007",4500.0,34.0304022,-118.2933182,1168.478235467025,60,0,7,5,0,17,1,0,21,9
Apartment for Rent,"1426 W 38th St, Los Angeles, CA 90062",2970.0,34.0174084,-118.3028826,1730.3368441406485,34,1,9,4,0,8,3,1,4,4
Apartment for Rent,"1431 W 36th St, Los Angeles, CA 90018",2150.0,34.0228684,-118.301645,1525.679807786942,44,0,6,9,0,12,5,1,5,6
Apartment for Rent,"147 E 36th St, Los Angeles, CA 90011",1225.0,34.0167891,-118.2727543,1297.6504816826516,35,0,2,3,0,13,4,0,4,9
Apartment for Rent,"1477 W 36th St, Los Angeles, CA 90018",1070.0,34.0228783,-118.3036122,1706.9167487952311,38,0,7,9,0,11,5,1,2,3
Apartment for Rent,"1479 W 36th St, Los Angeles, CA 90018",1190.0,34.0228787,-118.3036977,1714.7940132548797,41,0,7,9,0,11,5,1,4,4
Apartment for Rent,"1510 S Van Ness Ave, Los Angeles, CA 90019",3195.0,34.045078,-118.3155924,3775.438980479634,51,3,6,7,0,11,4,0,11,9
Apartment for Rent,"1515 Wilshire Blvd, Los Angeles, CA 90017",3013.333333333333,34.0548093,-118.2686684,3908.883881559762,112,1,37,11,1,18,15,1,16,12
Apartment for Rent,"1570 W 36th St, Los Angeles, CA 90018",1100.0,34.0227206,-118.3052836,1860.4678322456311,42,0,9,8,0,10,5,1,7,2
Apartment for Rent,"1580 W 30th St, Los Angeles, CA 90007",4804.0,34.0272284,-118.2997744,1455.037723679089,41,0,5,6,0,12,1,0,8,9
Apartment for Rent,"1640 W Vernon Ave, Los Angeles, CA 90062",2950.0,34.0036324,-118.3082795,2986.5522227675856,41,0,10,1,0,10,4,1,4,11
Apartment for Rent,"1659 W 36th Pl, Los Angeles, CA 90018",4500.0,34.0219676,-118.3076874,2082.225566344797,40,0,9,8,0,9,6,1,6,1
Apartment for Rent,"1711 S New Hampshire Ave, Los Angeles, CA 90006",2450.0,34.0426374,-118.2924955,2351.225960500158,42,0,9,8,0,10,7,0,3,5
Apartment for Rent,"1720 Miramar St, Los Angeles, CA 90026",3950.0,34.061877,-118.268253,4656.016268754081,84,0,21,9,0,14,12,2,16,10
Apartment for Rent,"1740 S New England St, Los Angeles, CA 90006",1730.0,34.0425212,-118.2875974,2249.179907841936,47,0,10,7,0,9,9,0,5,7
Apartment for Rent,"17550 W 45th St, Los Angeles, CA 90062",2500.0,34.0028146,-118.3068608,2960.692367300642,41,0,8,1,1,10,4,1,5,11
Apartment for Rent,"1765 W 38th St, Los Angeles, CA 90062",1545.0,34.017437,-118.3124333,2578.862295433999,24,0,7,0,0,3,5,1,3,5
Apartment for Rent,"1815 W 12th St, Los Angeles, CA 90006",1180.0,34.0477346,-118.2791872,2869.2838983392508,70,0,17,4,0,17,9,0,8,15
Apartment for Rent,"1817 W 12th St, Los Angeles, CA 90006",2081.0,34.0477388,-118.2791966,2869.578093301372,70,0,15,3,0,19,10,0,8,15
Apartment for Rent,"1830 W Jefferson Blvd, Los Angeles, CA 90018",1300.0,34.0254698,-118.3098667,2307.852311450487,27,0,4,5,0,8,6,0,3,1
Apartment for Rent,"1935 W 23rd St, Los Angeles, CA 90018",2595.0,34.0355214,-118.304608,2315.2970867441163,22,0,4,0,0,6,1,0,6,5
Apartment for Rent,"2121 James M Wood Blvd, Los Angeles, CA 90006",2200.0,34.0537955,-118.2794935,3529.0367653533885,90,0,27,6,1,18,12,0,15,11
Apartment for Rent,"215 W 5th St, Los Angeles, CA 90013",2700.0,34.0475574,-118.249726,4295.381776513855,231,1,62,11,0,27,25,2,57,46
Apartment for Rent,"2209 Crenshaw Blvd, Los Angeles, CA 90016",1399.0,34.0375624,-118.332442,4677.117564850943,22,0,5,3,0,8,0,0,3,3
Apartment for Rent,"221 Lucas Ave, Los Angeles, CA 90026",3150.0,34.0603391,-118.2604518,4791.105898860684,52,0,15,5,0,14,2,3,4,9
Apartment for Rent,"222 S Main St, Los Angeles, CA 90012",3140.0,34.0500292,-118.2444028,4847.838833171079,154,1,51,7,0,16,17,1,30,31
Apartment for Rent,"2231 Ellendale Pl, Los Angeles, CA 90007",2800.0,34.0353563,-118.2891811,1488.9545443764207,53,0,6,4,0,16,4,0,17,6
Apartment for Rent,"225 S Grand Ave, Los Angeles, CA 90012",3759.555555555556,34.0541727,-118.2513144,4708.85357461232,85,0,23,1,0,13,7,1,18,22
